Ticker,Status,Reason,Rows,First Date,Last Date,Source,Candidate Source,Survivorship Bias Warning
^NSEI,LOADED,,3987,2010-06-07,2026-08-28,CACHE,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
TCS.NS,LOADED,,4011,2010-06-07,2026-08-28,CACHE,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
INFY.NS,LOADED,,4011,2010-06-07,2026-08-28,CACHE,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
HCLTECH.NS,LOADED,,4011,2010-06-07,2026-08-28,CACHE,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
WIPRO.NS,LOADED,,4011,2010-06-07,2026-08-28,CACHE,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
ICICIBANK.NS,LOADED,,4011,2010-06-07,2026-08-28,CACHE,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
HDFCBANK.NS,LOADED,,4011,2010-06-07,2026-08-28,CACHE,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
SBIN.NS,LOADED,,4011,2010-06-07,2026-08-28,CACHE,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
AXISBANK.NS,LOADED,,4011,2010-06-07,2026-08-28,CACHE,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
BEL.NS,LOADED,,4011,2010-06-07,2026-08-28,CACHE,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
HAL.NS,LOADED,,2082,2018-04-02,2026-08-28,YFINANCE,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
LT.NS,LOADED,,4011,2010-06-07,2026-08-28,CACHE,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
ITC.NS,LOADED,,4011,2010-06-07,2026-08-28,CACHE,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
TITAN.NS,LOADED,,4011,2010-06-07,2026-08-28,CACHE,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
HINDUNILVR.NS,LOADED,,4011,2010-06-07,2026-08-28,CACHE,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
M&M.NS,LOADED,,4011,2010-06-07,2026-08-28,CACHE,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
MARUTI.NS,LOADED,,4011,2010-06-07,2026-08-28,CACHE,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
TMPV.NS,LOADED,,4011,2010-06-07,2026-08-28,CACHE,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
TMCV.NS,SKIPPED,INSUFFICIENT_HISTORY_OR_FEATURE_ERROR,201,2025-11-12,2026-08-28,YFINANCE,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
SUNPHARMA.NS,LOADED,,4011,2010-06-07,2026-08-28,CACHE,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
CIPLA.NS,LOADED,,4011,2010-06-07,2026-08-28,CACHE,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
