Variant,Starting Equity,Ending Equity,Net Return %,CAGR %,Total Trades,Wins,Losses,Win Rate %,Average Winner,Average Loser,Average R,Median R,Expectancy R,Profit Factor,Maximum Drawdown %,Maximum Consecutive Losses,Average Holding Days,Maximum Concurrent Positions,Capacity Rejections,Expired Orders,Survivorship Bias Warning,Candidate Source
T1_10D,100000.0,117449.94733549663,17.44994733549663,1.0783963493764537,357,166,191,46.49859943977591,914.0428081768354,-703.0427163448081,0.06372477064254511,-0.19479048747578354,0.06372477064254511,1.1299508247366703,-12.492797310377457,10,6.921568627450981,5,7,105,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,REFERENCE
T1_20D,100000.0,108731.70209930526,8.731702099305249,0.5598276184159756,340,139,201,40.88235294117647,1171.2631404224026,-766.5366886537751,0.026976014981714282,-1.0273491938487789,0.026976014981714282,1.0566721784092763,-17.061315567405565,14,9.523529411764706,5,8,101,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,REFERENCE
T1_30D,100000.0,112253.8909293907,12.25389092939071,0.7738450708196121,338,135,203,39.94082840236686,1282.41432018746,-792.4731147582098,0.053357675284278386,-1.0287933095176036,0.053357675284278386,1.0761716626115185,-17.99513613456385,16,10.677514792899409,5,13,100,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,REFERENCE
T1_45D,100000.0,114566.24231779765,14.56624231779764,0.9109673072850155,337,134,203,39.762611275964396,1339.0263475696474,-812.1344249090395,0.06020513537232266,-1.0302888486657469,0.06020513537232266,1.088353462264637,-16.957856368463343,16,11.427299703264095,5,13,99,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,REFERENCE
T1_63D,100000.0,115648.0742040436,15.648074204043594,0.9742350884456297,336,134,202,39.88095238095239,1361.343559237828,-825.6037759100265,0.06501510566734305,-1.030616619568233,0.06501510566734305,1.093829166171166,-16.566128783862567,16,11.726190476190476,5,13,98,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,REFERENCE
T2_10D,100000.0,122233.82524954175,22.23382524954176,1.3478680873024063,355,163,192,45.91549295774648,958.1622522718468,-697.6386555769253,0.07590893819844066,-0.21743574154311773,0.07590893819844066,1.1659901902639422,-12.829926248027556,10,7.419718309859155,5,8,103,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,REFERENCE
T2_20D,100000.0,126896.83868609132,26.896838686091318,1.601220221815347,335,131,204,39.1044776119403,1489.273194203311,-824.4997536987374,0.09368513456350816,-1.0284235553829573,0.09368513456350816,1.1599118106097184,-18.607854618302767,14,10.805970149253731,5,8,96,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,REFERENCE
T2_30D,100000.0,120227.76036994261,20.227760369942605,1.2360880033741362,327,117,210,35.77981651376147,1668.0220897530176,-833.0039244340978,0.0797331931223763,-1.0311458319903795,0.0797331931223763,1.1156329107257623,-20.048024451654733,16,12.706422018348624,5,19,95,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,REFERENCE
T2_45D,100000.0,120215.38399392238,20.215383993922377,1.2353929911542716,322,110,212,34.161490683229815,1790.360870281027,-833.6052440424085,0.08038924571724626,-1.0325670826728084,0.08038924571724626,1.114389377416322,-18.983416884641315,16,14.279503105590063,5,19,94,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,REFERENCE
T2_63D,100000.0,120510.51137876516,20.510511378765163,1.251948109004819,320,107,213,33.4375,1920.834840502801,-868.6329415729318,0.08498681371162993,-1.0334379769728854,0.08498681371162993,1.110856353751805,-21.24983957968124,16,15.19375,5,20,93,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,REFERENCE
