Variant,Market Regime,Trades,Wins,Losses,Win Rate %,Average Return %,Median Return %,Average R,Median R,Profit Factor,Expectancy R,Average Holding Days,Max Consecutive Losses,Total Net PnL,Candidate Source,Survivorship Bias Warning
T1_10D,BULL,66,33,33,50.0,0.8368189678344583,-0.014310618740092707,0.1814005775610243,0.00033808119423361926,1.4136808159505707,0.1814005775610243,7.121212121212121,5,9127.906317720468,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_10D,NEUTRAL,106,41,65,38.67924528301887,-0.37802298251558814,-2.0279209896545485,-0.11914229878493701,-1.023880326136669,0.7514428011966195,-0.11914229878493701,6.39622641509434,10,-11930.84150057334,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_10D,STRONG BULL,185,92,93,49.72972972972973,0.5443441869845893,-0.0961821600737956,0.12652101984629363,-0.01809035408255656,1.3153884391245716,0.12652101984629363,7.151351351351352,6,20252.882518349194,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_20D,BULL,61,29,32,47.540983606557376,1.0312629612680055,-2.090299007302159,0.22722872296785906,-0.288679165862905,1.4314910217163865,0.22722872296785906,9.918032786885245,5,10690.853932240294,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_20D,NEUTRAL,102,33,69,32.35294117647059,-0.6755556381407736,-2.805673751545559,-0.20859873607013057,-1.0340190149654842,0.6914171048058549,-0.20859873607013057,8.529411764705882,16,-16859.755998831584,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_20D,STRONG BULL,177,77,100,43.50282485875706,0.3651415155800394,-1.6002514645130779,0.09371731114065972,-0.5759200133056745,1.1995760929375172,0.09371731114065972,9.96045197740113,7,14900.604165896479,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_30D,BULL,61,26,35,42.62295081967213,0.8994335969508497,-2.729434610498009,0.1902845082507191,-1.026868915103708,1.2921846040709777,0.1902845082507191,11.147540983606557,7,8382.292335832295,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_30D,NEUTRAL,100,32,68,32.0,-0.6385547164495101,-2.8257705997100975,-0.1810573529432067,-1.034180507406247,0.7305547331652008,-0.1810573529432067,8.98,16,-14523.658337063145,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_30D,STRONG BULL,177,77,100,43.50282485875706,0.5209919993099855,-2.5998438294046045,0.13860607083114634,-1.0233807015904433,1.234988181338444,0.13860607083114634,11.474576271186441,7,18395.256930621385,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_45D,BULL,61,25,36,40.98360655737705,0.6916244212497618,-2.7407506520786185,0.14295891481467657,-1.0283363402809202,1.202100966273369,0.14295891481467657,11.655737704918034,7,6110.782583900911,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_45D,NEUTRAL,100,31,69,31.0,-0.6723121084919021,-2.963908204257783,-0.18985717463260127,-1.0350291694149303,0.7226369353408431,-0.18985717463260127,9.49,16,-15421.304474316805,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_45D,STRONG BULL,176,78,98,44.31818181818182,0.7031219383141982,-2.6503689874080747,0.17360428568203176,-1.0272460053258976,1.3021331220984491,0.17360428568203176,12.448863636363637,6,23876.7642082136,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_63D,BULL,61,26,35,42.62295081967213,0.7080229753869849,-2.7407506520786185,0.14504832538373888,-1.0283363402809202,1.20650107842372,0.14504832538373888,11.950819672131148,6,6233.252598782822,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_63D,NEUTRAL,99,31,68,31.313131313131315,-0.6146440470676233,-2.9883841611383,-0.16977082885754968,-1.0341877584224624,0.7478419693321505,-0.16977082885754968,9.656565656565656,16,-13991.19285997317,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_63D,STRONG BULL,176,77,99,43.75,0.69832162541269,-2.6808252615036325,0.16934340745861712,-1.028388104565563,1.2886030410168101,0.16934340745861712,12.8125,7,23406.01446523393,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T2_10D,BULL,65,32,33,49.23076923076923,1.0139667011438618,-0.0907129558441631,0.26009685509452646,-0.017744047089805037,1.5913419242873919,0.26009685509452646,7.507692307692308,5,13085.082832192467,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
