Score Type,Score Band,Trades,Wins,Losses,Win Rate %,Average Return %,Median Return %,Average R,Median R,Profit Factor,Expectancy R,Average Holding Days,Max Consecutive Losses,One-Share Net PnL (Diagnostic Only),Candidate Source,Survivorship Bias Warning
Technical Score,60-69,909,392,517,43.12431243124312,0.6772193055944198,-2.6712373397058338,0.1882391895429991,-1.0286521053758428,1.3024896547948328,0.1882391895429991,12.916391639163916,34,3175.191418373368,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
Technical Score,70-79,1503,651,852,43.31337325349301,0.7594377499411121,-2.6494473347535656,0.14240238134436023,-1.019851151949815,1.2369369953484985,0.14240238134436023,16.343313373253494,38,6628.941676858709,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
Technical Score,80-89,537,229,308,42.64432029795158,0.7691671849132484,-3.0589304140492635,0.14356673290067584,-1.024357696055416,1.2251506385640762,0.14356673290067584,14.04655493482309,20,448.36063878651566,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
Technical Score,90-100,1,1,0,100.0,9.10904508788221,9.10904508788221,1.5830567118607621,1.5830567118607621,inf,1.5830567118607621,9.0,0,109.62435463555018,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
Actionability Score,40-49,101,48,53,47.524752475247524,0.6599924988250249,-1.088350935605813,0.11162305034468761,-0.08028575811153957,1.2627278437704952,0.11162305034468761,40.64356435643565,6,633.0635236550352,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
Actionability Score,50-59,139,71,68,51.07913669064749,2.012748976642331,0.26268185054670734,0.3274143642480584,0.022779039944622163,1.713572697367532,0.3274143642480584,30.071942446043167,11,2805.8749712008284,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
Actionability Score,60-69,219,103,116,47.03196347031963,1.3860303500229036,-2.269117069589928,0.13063421452904353,-1.0104184622497898,1.2302095544523812,0.13063421452904353,21.447488584474886,13,1444.6606410147535,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
Actionability Score,70-79,515,205,310,39.80582524271845,0.464801581126979,-3.1678192962962743,0.09399206819138797,-1.0267479972494373,1.147494249663558,0.09399206819138797,13.489320388349515,25,2366.6315000025775,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
Actionability Score,80-89,1527,655,872,42.89456450556647,0.6067378194134145,-2.6522802141571833,0.1500088779169612,-1.0283511449800924,1.236931284490448,0.1500088779169612,12.02815979043877,57,3864.8978492843707,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
Actionability Score,90-100,449,191,258,42.53897550111358,0.809233071311381,-2.699772500089528,0.2248456689081619,-1.0301003180253008,1.3536521680912443,0.2248456689081619,12.385300668151448,14,-753.0103965034248,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
