Technical Score Band,Actionability Score Band,Trades,Wins,Losses,Win Rate %,Average Return %,Median Return %,Average R,Median R,Profit Factor,Expectancy R,Average Holding Days,Max Consecutive Losses,One-Share Net PnL (Diagnostic Only),Candidate Source,Survivorship Bias Warning
60-69,40-49,14,7,7,50.0,-0.0897454052685117,-0.925906999741865,0.021568374674213655,-0.06357163578834814,1.062417210070034,0.021568374674213655,48.714285714285715,4,-275.9887834296544,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
60-69,50-59,24,13,11,54.166666666666664,1.8713655694391835,2.225759992509614,0.7003481496972151,0.18658914649611166,2.5036211304365414,0.7003481496972151,23.541666666666668,2,-987.2917566821483,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
60-69,60-69,36,13,23,36.11111111111111,-0.06441850271702913,-3.168918544779901,0.0006086858557819245,-1.0225625459829486,1.0009410432764352,0.0006086858557819245,17.36111111111111,9,-817.9113729091242,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
60-69,70-79,173,67,106,38.72832369942196,0.5005811941522305,-3.242265635241874,0.10933956880972236,-1.0305630427882932,1.1702663229170018,0.10933956880972236,10.16184971098266,16,2214.877902121871,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
60-69,80-89,485,205,280,42.2680412371134,0.5405895461938596,-2.6551086470591065,0.13356223011877616,-1.0324502004439324,1.204413622274719,0.13356223011877616,12.230927835051546,25,1607.9952503723844,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
60-69,90-100,177,87,90,49.152542372881356,1.2738339005536807,-2.181357592201398,0.39708345058710426,-1.0244655184077804,1.7144234108325584,0.39708345058710426,12.310734463276836,8,1433.51017890004,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
70-79,40-49,86,41,45,47.674418604651166,0.8472546068331362,-0.8951145874717478,0.13956041945166625,-0.06930362491701555,1.3240062340830252,0.13956041945166625,39.76744186046512,5,912.8413391945893,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
70-79,50-59,99,49,50,49.494949494949495,1.8126252188118426,-0.1695991295016977,0.24124884150776282,-0.013782980098658276,1.5301403841392132,0.24124884150776282,32.04040404040404,8,4109.673549315524,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
70-79,60-69,150,76,74,50.66666666666667,1.9761499856724194,0.6774498969787044,0.18182946215956497,0.11911033059314424,1.3349392023781033,0.18182946215956497,22.346666666666668,9,1983.1943614139823,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
70-79,70-79,234,88,146,37.60683760683761,0.17535889710983596,-3.328383897289303,0.030779575901671852,-1.0269064936150654,1.047443527593173,0.030779575901671852,14.837606837606838,15,-481.7907405088842,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
70-79,80-89,735,322,413,43.80952380952381,0.6605042204385156,-2.567950291197313,0.17310272199248408,-1.0260427049140997,1.2834636276613398,0.17310272199248408,11.806802721088435,28,1828.3641610589186,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
70-79,90-100,199,75,124,37.68844221105528,0.33263348499796985,-2.8489327439005385,0.08260104034703467,-1.0319981871158972,1.118132769454437,0.08260104034703467,12.412060301507537,15,-1723.3409936154235,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
80-89,40-49,1,0,1,0.0,-4.948218132563072,-4.948218132563072,-1.0302252334688382,-1.0302252334688382,0.0,-1.0302252334688382,3.0,1,-3.789032109899992,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
80-89,50-59,16,9,7,56.25,3.4630898390232003,4.253698934052398,0.3011628580299023,0.45756248625361934,1.6383623578692301,0.3011628580299023,27.6875,3,-316.5068214325487,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
80-89,60-69,33,14,19,42.42424242424242,0.2859762091504867,-3.5352486523362163,0.03977457476114065,-1.0108892152162392,1.0671153921370962,0.03977457476114065,21.818181818181817,11,279.3776525098957,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
80-89,70-79,108,50,58,46.2962962962963,1.0346137571144138,-2.5612882651168425,0.2063680458656634,-1.0173294689940362,1.3414017997236458,0.2063680458656634,15.898148148148149,10,633.5443383895921,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
80-89,80-89,307,128,179,41.69381107491857,0.5825150433809548,-3.119816682120543,0.12070154497432402,-1.028143131491655,1.1843040624135948,0.12070154497432402,12.237785016286646,16,428.5384378530679,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
80-89,90-100,72,28,44,38.88888888888889,0.8690825002545897,-2.790053809057019,0.1757120950684246,-1.0321168678408936,1.2638837415812507,0.1757120950684246,12.541666666666666,9,-572.8039364235913,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
90-100,90-100,1,1,0,100.0,9.10904508788221,9.10904508788221,1.5830567118607621,1.5830567118607621,inf,1.5830567118607621,9.0,0,109.62435463555018,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
