Ticker,Signal Date,Signal_New,Setup_New,Market Regime_New,Technical Score_New,Actionability Score_New,Entry Low_New,Entry High_New,Stop Loss_New,Target 1_New,Target 2_New,R:R T1_New,Signal_Ref,Setup_Ref,Market Regime_Ref,Technical Score_Ref,Actionability Score_Ref,Entry Low_Ref,Entry High_Ref,Stop Loss_Ref,Target 1_Ref,Target 2_Ref,R:R T1_Ref,_merge,Candidate Source,Survivorship Bias Warning
AXISBANK.NS,2012-06-07,AVOID,BREAKOUT,NEUTRAL,53.0,65.0,193.2942,196.1936,174.5802,238.5708,243.1705,1.9607,AVOID,BREAKOUT,NEUTRAL,53.0,65.0,193.2942,196.1936,174.5801,238.5708,243.1705,1.9607,both,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
AXISBANK.NS,2012-08-24,WAIT FOR BETTER ENTRY,PULLBACK,STRONG BULL,62.0,20.0,200.2367,202.9771,193.4109,211.7628,238.5708,0.9184,WAIT FOR BETTER ENTRY,PULLBACK,STRONG BULL,62.0,20.0,200.2367,202.9772,193.4109,211.7628,238.5708,0.9184,both,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
AXISBANK.NS,2012-09-17,WAIT FOR BETTER ENTRY,PULLBACK,STRONG BULL,65.0,20.0,193.1552,197.981,174.1313,211.6873,227.9404,0.5747,WAIT FOR BETTER ENTRY,PULLBACK,STRONG BULL,65.0,20.0,193.1552,197.981,174.1313,211.6874,227.9404,0.5747,both,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
AXISBANK.NS,2012-09-20,WAIT FOR BETTER ENTRY,PULLBACK,STRONG BULL,60.0,20.0,193.2759,197.1169,174.3004,211.3571,227.9404,0.6241,WAIT FOR BETTER ENTRY,PULLBACK,STRONG BULL,60.0,20.0,193.2759,197.1169,174.3003,211.3571,227.9404,0.6241,both,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
AXISBANK.NS,2012-09-21,WAIT FOR BETTER ENTRY,BREAKOUT,STRONG BULL,66.0,20.0,211.5245,214.6973,176.7135,227.9404,309.657,0.3486,WAIT FOR BETTER ENTRY,BREAKOUT,STRONG BULL,66.0,20.0,211.5245,214.6973,176.7134,227.9404,309.6571,0.3487,both,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
AXISBANK.NS,2012-10-18,WATCH,BREAKOUT,STRONG BULL,80.0,62.0,222.1149,225.4466,189.3895,279.5323,315.5894,1.5,WAIT FOR BETTER ENTRY,BREAKOUT,STRONG BULL,80.0,35.0,222.1149,225.4466,189.3895,279.5323,315.5894,1.5,both,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
AXISBANK.NS,2012-10-30,WAIT FOR BETTER ENTRY,PULLBACK,STRONG BULL,81.0,20.0,215.9758,221.8458,208.1876,234.6,255.9913,0.9338,WAIT FOR BETTER ENTRY,PULLBACK,STRONG BULL,81.0,20.0,215.9758,221.8458,208.1876,234.6,255.9914,0.9338,both,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
AXISBANK.NS,2012-10-31,WAIT FOR BETTER ENTRY,PULLBACK,STRONG BULL,79.0,35.0,216.51,222.191,210.3773,234.6,251.7255,1.0504,WAIT FOR BETTER ENTRY,PULLBACK,STRONG BULL,79.0,35.0,216.51,222.191,210.3772,234.6,251.7256,1.0504,both,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
AXISBANK.NS,2012-11-01,WAIT FOR BETTER ENTRY,PULLBACK,STRONG BULL,78.0,20.0,217.2578,222.8862,210.3773,234.6,254.1586,0.9364,WAIT FOR BETTER ENTRY,PULLBACK,STRONG BULL,78.0,20.0,217.2578,222.8862,210.3772,234.6,254.1587,0.9364,both,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
AXISBANK.NS,2012-11-02,WAIT FOR BETTER ENTRY,PULLBACK,STRONG BULL,78.0,20.0,218.3099,223.7611,210.3773,234.6,257.2208,0.8098,WAIT FOR BETTER ENTRY,PULLBACK,STRONG BULL,78.0,20.0,218.3099,223.7611,210.3772,234.6,257.2209,0.8098,both,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
AXISBANK.NS,2012-11-05,WAIT FOR BETTER ENTRY,PULLBACK,STRONG BULL,78.0,20.0,219.0993,224.358,210.3773,234.6,259.3098,0.7326,WAIT FOR BETTER ENTRY,PULLBACK,STRONG BULL,78.0,20.0,219.0993,224.358,210.3772,234.6,259.3099,0.7326,both,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
AXISBANK.NS,2012-11-06,WAIT FOR BETTER ENTRY,PULLBACK,STRONG BULL,78.0,20.0,219.9126,225.0017,210.3773,234.6,261.5628,0.6563,WAIT FOR BETTER ENTRY,PULLBACK,STRONG BULL,78.0,20.0,219.9126,225.0017,210.3772,234.6,261.5629,0.6563,both,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
