Variant,Year,Trades,Wins,Losses,Win Rate %,Gross Return %,Net Return %,Average R,Expectancy R,Profit Factor,Max Drawdown %,Ending Equity,Survivorship Bias Warning,Candidate Source
T1_10D,2011,0,0,0,0.0,0.0,0.0,,,,0.0,100000.0,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,REFERENCE
T1_10D,2012,26,15,11,57.692307692307686,5.966366768199438,4.955144497183461,0.2594232597121884,0.2594232597121884,1.732209889044628,-2.264162835258521,104955.14449718347,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,REFERENCE
T1_10D,2013,25,10,15,40.0,0.8517447398850673,-0.1039878312931064,0.046230356887817285,0.046230356887817285,0.9825388003472948,-3.7676509012371184,104846.0039185903,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,REFERENCE
T1_10D,2014,35,22,13,62.857142857142854,12.649995129343413,10.877260678321377,0.41553324935790464,0.41553324935790464,2.1663573035314507,-2.0797942178701456,116250.37707561842,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,REFERENCE
T1_10D,2015,22,6,16,27.27272727272727,-4.965098106660883,-5.46661545662449,-0.3389874533908188,-0.3389874533908188,0.4708155732451124,-5.947055742465146,109895.41599401842,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,REFERENCE
T1_10D,2016,17,9,8,52.94117647058824,2.123198948971545,1.4418467862597595,0.12167139814314774,0.12167139814314774,1.2531812562767306,-4.162960952960759,111479.93951777497,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,REFERENCE
T1_10D,2017,23,12,11,52.17391304347826,1.3379622075244193,0.5877726131842342,0.023807110095891253,0.023807110095891253,1.0695492203833583,-4.223009246608389,112135.18807145479,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,REFERENCE
T1_10D,2018,24,10,14,41.66666666666667,-0.7327819839271761,-1.8373462696039344,-0.09127784412087636,-0.09127784412087636,0.8327381062069409,-5.424472377771039,110074.87637651055,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,REFERENCE
T1_10D,2019,24,12,12,50.0,4.434095513032623,3.473098911804784,0.20140896847643353,0.20140896847643353,1.5713196203482716,-2.4070967110780828,113897.8857101136,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,REFERENCE
T1_10D,2020,18,9,9,50.0,0.688587640113746,0.08753384291901867,0.015187262242881385,0.015187262242881385,1.0120953686120817,-6.010690090386916,113997.58490647917,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,REFERENCE
T1_10D,2021,34,18,16,52.94117647058824,9.306807624435107,8.035562248781813,0.3163884130588999,0.3163884130588999,1.7621481699804322,-4.043066037683285,123157.93180374721,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,REFERENCE
T1_10D,2022,33,8,25,24.242424242424242,-6.24876129322415,-6.494938456292387,-0.41472776756732505,-0.41472776756732505,0.4504281419061098,-9.744894479666533,115158.89992905129,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,REFERENCE
T1_10D,2023,28,17,11,60.71428571428571,7.688758866054143,5.352142094052503,0.39849174653251945,0.39849174653251945,2.2282483264672353,-3.2639132975721297,121322.36788720185,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,REFERENCE
T1_10D,2024,22,10,12,45.45454545454545,1.1272977347685187,0.0086806671178552,-0.06574440871672854,-0.06574440871672854,1.023272436583942,-3.5776559752347614,121332.89947809764,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,REFERENCE
T1_10D,2025,19,7,12,36.84210526315789,-0.9780199841434588,-1.8182317716339602,-0.14455608497951178,-0.14455608497951178,0.6847895319131845,-2.510253630632142,119126.78615034217,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,REFERENCE
T1_10D,2026,7,1,6,14.285714285714285,-1.3431697047539604,-1.4076085396355076,-0.2579244749441841,-0.2579244749441841,0.47779769237399844,-2.24565931276145,117449.94733549663,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,REFERENCE
T1_20D,2011,0,0,0,0.0,0.0,0.0,,,,0.0,100000.0,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,REFERENCE
T1_20D,2012,23,12,11,52.17391304347826,5.362132150170808,4.455182051834616,0.26900632738450947,0.26900632738450947,1.6234825224327543,-2.069313912034987,104455.18205183462,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,REFERENCE
T1_20D,2013,23,8,15,34.78260869565217,0.5205510614564836,-0.3656053142714777,0.018951188024718645,0.018951188024718645,0.9611110043737462,-4.768607929542068,104073.28835522117,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,REFERENCE
T1_20D,2014,34,20,14,58.82352941176471,14.383970213487416,12.61035875984251,0.49345252906613946,0.49345252906613946,2.1408421753906457,-2.4447789717883084,117197.30338997995,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,REFERENCE
T1_20D,2015,21,4,17,19.047619047619047,-6.9844403973130635,-7.4052336447423155,-0.49510565888545566,-0.49510565888545566,0.3712048033558124,-7.482845823600515,108518.56924861443,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,REFERENCE
T1_20D,2016,17,6,11,35.294117647058826,0.6356613236900137,-0.04737297199254309,0.007869038760620905,0.007869038760620905,0.9939702773537119,-5.952257853622333,108467.16077719757,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,REFERENCE
T1_20D,2017,20,10,10,50.0,3.9097438091186545,3.289950123684471,0.21515688195053354,0.21515688195053354,1.4620567232750128,-3.7615732007258207,112035.67626734401,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,REFERENCE
T1_20D,2018,25,10,15,40.0,-0.06562783667693829,-1.2178197648568534,-0.04438165695483062,-0.04438165695483062,0.9056468280308652,-5.450928982898795,110671.28365806925,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,REFERENCE
T1_20D,2019,22,9,13,40.909090909090914,1.7093803902648939,0.8310070133753067,0.04605464113927474,0.04605464113927474,1.0944032064609308,-4.810762665828716,111590.96978706028,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,REFERENCE
T1_20D,2020,17,8,9,47.05882352941176,2.1730780546949955,2.4460008016981893,0.13612047484968673,0.13612047484968673,1.219322740637829,-5.043626458376771,114320.48580267455,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,REFERENCE
T1_20D,2021,35,16,19,45.714285714285715,6.808943425469202,4.711219175836945,0.22222929526635213,0.22222929526635213,1.3882130020536962,-6.374009368837252,119706.37445172011,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,REFERENCE
T1_20D,2022,30,5,25,16.666666666666664,-10.125030757923694,-10.248116980195586,-0.6368147936933775,-0.6368147936933775,0.30039319580081514,-12.43663620781874,107438.72516515687,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,REFERENCE
T1_20D,2023,27,14,13,51.85185185185185,6.208395004421792,4.0771856806155915,0.3066421960530811,0.3066421960530811,1.7908481895018094,-3.479441047315057,111819.20148302658,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,REFERENCE
T1_20D,2024,21,8,13,38.095238095238095,1.340432417687405,0.07139560775279996,-0.1008829085895165,-0.1008829085895165,1.056267613203063,-3.484711068711943,111899.03548150971,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,REFERENCE
